Vehicle Description, Max Offer Page, Impact Category, Energy Chart Position, Offer Description, Concept Code, Concept Name, Sales Class, Promotion Claim, Introduction Period ID, Number For Qty, Regular Price, Selling Price, Disc %, Total Units (WIP), Total Gross Sales (WIP), Total Direct Profit (WIP), Total DP%, Gross To Avon Factor, Best Cost, Brand Family Name, Sub-Brand Name, Page Weight
"CORE BROCHURE,""3"",""INCENTIVES & PRIZES"","""",""CB NC BOLSA REGULAR PRICE"",""5553946"",""CAJA GRANDE SAN VALENTIN"",""IN-LINE (EXCL NR)"",""REGULAR PRICE"",""2021/03"",""1"",""3400"",""3400"",""0"",""100"",""285702"",""200402"",""70.14"",""0.8403"",""853"",""AVON"",""AVON"",""50"""
"CORE BROCHURE,""3"",""INCENTIVES & PRIZES"","""",""CB NC BOLSA REGULAR PRICE"",""5564191"",""CAJA PEQUENA SAN VALENTIN"",""IN-LINE (EXCL NR)"",""REGULAR PRICE"",""2021/03"",""1"",""2600"",""2600"",""0"",""170"",""371412.6"",""257512.6"",""69.33"",""0.8403"",""670"",""AVON"",""AVON"",""50"""
"CORE BROCHURE,""5"",""COLOR"",""PORTADA + EXTENSIONES"",""CB- MUP AT GWP C/2 GLIMMER DE CEJAS / PORTADA"",""1228134"",""AVON BROW SCULPTING PENCIL"",""IN-LINE (EXCL NR)"",""FREE BEAUTY WITH PURCHASE"",""2022/05"",""1"",""23900"",""0"",""100"",""1"",""0"",""-2770"",""0"",""0.6002"",""2770"",""AVON"",""AVON"",""100"""
"CORE BROCHURE,""7"",""COLOR"",""PORTADA + EXTENSIONES"",""CB-MUP AT LABIAL LIP STAIN X-OUT / INTRO GWP POR C/2 GLIMMER DE CEJAS"",""1223000"",""3Q21 AVON POWERSTAY LIP STAIN"",""NEW COI"",""CROSS-OUT"",""2023/04"",""1"",""29900"",""18900"",""36.79"",""14480"",""164257934.4"",""105266414.4"",""64.09"",""0.6002"",""4074"",""AVON TRUE"",""AVON TRUE COLOR"",""100"""
"CORE BROCHURE,""7"",""COLOR"",""PORTADA + EXTENSIONES"",""CB-MUP AT LABIAL LIP STAIN X-OUT / INTRO GWP POR C/2 GLIMMER DE CEJAS"",""1228134"",""AVON BROW SCULPTING PENCIL"",""IN-LINE (EXCL NR)"",""FREE BEAUTY WITH PURCHASE"",""2022/05"",""1"",""23900"",""0"",""100"",""4344"",""0"",""-12032880"",""0"",""0.6002"",""2770"",""AVON"",""AVON"",""100"""
"CORE BROCHURE,""9"",""COLOR"",""PORTADA + EXTENSIONES"",""CB-MUP AT LABIAL LIQUIDO POWER STAY X-OUT / GWP POR C/2 GLIMMER DE CEJAS / PORTADA"",""1203490"",""AVON..TRUE LONGWEAR LIQUID LIP - LATAM"",""IN-LINE (EXCL NR)"",""CROSS-OUT"",""2020/03"",""1"",""35900"",""22900"",""36.21"",""184"",""2529002.72"",""1641386.72"",""64.9"",""0.6002"",""4824"",""AVON TRUE"",""AVON TRUE COLOR"",""100"""
"CORE BROCHURE,""9"",""COLOR"",""PORTADA + EXTENSIONES"",""CB-MUP AT LABIAL LIQUIDO POWER STAY X-OUT / GWP POR C/2 GLIMMER DE CEJAS / PORTADA"",""1203490"",""AVON..TRUE LONGWEAR LIQUID LIP - LATAM"",""IN-LINE (EXCL NR)"",""CROSS-OUT"",""2020/03"",""1"",""35900"",""22900"",""36.21"",""263"",""3614824.54"",""2329017.54"",""64.43"",""0.6002"",""4889"",""AVON TRUE"",""AVON TRUE COLOR"",""100"""
"CORE BROCHURE,""9"",""COLOR"",""PORTADA + EXTENSIONES"",""CB-MUP AT LABIAL LIQUIDO POWER STAY X-OUT / GWP POR C/2 GLIMMER DE CEJAS / PORTADA"",""1203490"",""AVON..TRUE LONGWEAR LIQUID LIP - LATAM"",""IN-LINE (EXCL NR)"",""CROSS-OUT"",""2020/03"",""1"",""35900"",""22900"",""36.21"",""498"",""6844800.84"",""4385676.84"",""64.07"",""0.6002"",""4938"",""AVON TRUE"",""AVON TRUE COLOR"",""100"""
"CORE BROCHURE,""9"",""COLOR"",""PORTADA + EXTENSIONES"",""CB-MUP AT LABIAL LIQUIDO POWER STAY X-OUT / GWP POR C/2 GLIMMER DE CEJAS / PORTADA"",""1203490"",""AVON..TRUE LONGWEAR LIQUID LIP - LATAM"",""IN-LINE (EXCL NR)"",""CROSS-OUT"",""2020/03"",""1"",""35900"",""22900"",""36.21"",""761"",""10459625.38"",""6710939.38"",""64.16"",""0.6002"",""4926"",""AVON TRUE"",""AVON TRUE COLOR"",""100"""
"CORE BROCHURE,""9"",""COLOR"",""PORTADA + EXTENSIONES"",""CB-MUP AT LABIAL LIQUIDO POWER STAY X-OUT / GWP POR C/2 GLIMMER DE CEJAS / PORTADA"",""1203490"",""AVON..TRUE LONGWEAR LIQUID LIP - LATAM"",""IN-LINE (EXCL NR)"",""CROSS-OUT"",""2020/15"",""1"",""35900"",""22900"",""36.21"",""235"",""3229976.3"",""2069311.3"",""64.07"",""0.6002"",""4939"",""AVON TRUE"",""AVON TRUE COLOR"",""100"""
